accession	TF	annotationSource	description	#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species
ENCFF430CFI	Pif1A	directAnnotation	gene is directly annotated	ENCFF430CFI	ENCFF430CFI	ENCFF430CFI	chip	2.0	Pif1A	0	None	None	1	None	None
ENCFF007WMH	Pif1A	directAnnotation	gene is directly annotated	ENCFF007WMH	ENCFF007WMH	ENCFF007WMH	chip	2.0	Pif1A	0	None	None	1	None	None
ENCFF057RZG	TFAM	directAnnotation	gene is directly annotated	ENCFF057RZG	ENCFF057RZG	ENCFF057RZG	chip	2.0	TFAM	0	None	None	1	None	None
ENCFF143KIJ	TFAM	directAnnotation	gene is directly annotated	ENCFF143KIJ	ENCFF143KIJ	ENCFF143KIJ	chip	2.0	TFAM	0	None	None	1	None	None
ENCFF793RXC	TFAM	directAnnotation	gene is directly annotated	ENCFF793RXC	ENCFF793RXC	ENCFF793RXC	chip	2.0	TFAM	0	None	None	1	None	None
ENCFF359QQF	cato	directAnnotation	gene is directly annotated	ENCFF359QQF	ENCFF359QQF	ENCFF359QQF	chip	2.0	cato	0	None	None	1	None	None
ENCFF769HIP	cato	directAnnotation	gene is directly annotated	ENCFF769HIP	ENCFF769HIP	ENCFF769HIP	chip	2.0	cato	0	None	None	1	None	None
ENCFF724KST	cato	directAnnotation	gene is directly annotated	ENCFF724KST	ENCFF724KST	ENCFF724KST	chip	2.0	cato	0	None	None	1	None	None
ENCFF690HYN	dmrt99B	directAnnotation	gene is directly annotated	ENCFF690HYN	ENCFF690HYN	ENCFF690HYN	chip	2.0	dmrt99B	0	None	None	1	None	None
ENCFF639MPT	dmrt99B	directAnnotation	gene is directly annotated	ENCFF639MPT	ENCFF639MPT	ENCFF639MPT	chip	2.0	dmrt99B	0	None	None	1	None	None
ENCFF094ZAH	dmrt99B	directAnnotation	gene is directly annotated	ENCFF094ZAH	ENCFF094ZAH	ENCFF094ZAH	chip	2.0	dmrt99B	0	None	None	1	None	None
ENCFF519SNX	Nf-YB	directAnnotation	gene is directly annotated	ENCFF519SNX	ENCFF519SNX	ENCFF519SNX	chip	2.0	Nf-YB	0	None	None	1	None	None
ENCFF547LGL	Nf-YB	directAnnotation	gene is directly annotated	ENCFF547LGL	ENCFF547LGL	ENCFF547LGL	chip	2.0	Nf-YB	0	None	None	1	None	None
ENCFF394CJJ	Nf-YB	directAnnotation	gene is directly annotated	ENCFF394CJJ	ENCFF394CJJ	ENCFF394CJJ	chip	2.0	Nf-YB	0	None	None	1	None	None
ENCFF691RAM	Nf-YB	directAnnotation	gene is directly annotated	ENCFF691RAM	ENCFF691RAM	ENCFF691RAM	chip	2.0	Nf-YB	0	None	None	1	None	None
ENCFF426RRT	Asciz	directAnnotation	gene is directly annotated	ENCFF426RRT	ENCFF426RRT	ENCFF426RRT	chip	2.0	Asciz	0	None	None	1	None	None
ENCFF463NAF	Asciz	directAnnotation	gene is directly annotated	ENCFF463NAF	ENCFF463NAF	ENCFF463NAF	chip	2.0	Asciz	0	None	None	1	None	None
