accession	TF	annotationSource	description	#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species
ENCFF522XXJ	pnt	directAnnotation	gene is directly annotated	ENCFF522XXJ	ENCFF522XXJ	ENCFF522XXJ	chip	2.0	pnt	0	None	None	1	None	None
ENCFF355QJK	pnt	directAnnotation	gene is directly annotated	ENCFF355QJK	ENCFF355QJK	ENCFF355QJK	chip	2.0	pnt	0	None	None	1	None	None
ENCFF963FLO	pnt	directAnnotation	gene is directly annotated	ENCFF963FLO	ENCFF963FLO	ENCFF963FLO	chip	2.0	pnt	0	None	None	1	None	None
ENCFF013PDC	pnt	directAnnotation	gene is directly annotated	ENCFF013PDC	ENCFF013PDC	ENCFF013PDC	chip	2.0	pnt	0	None	None	1	None	None
ENCFF508BVS	kmg	directAnnotation	gene is directly annotated	ENCFF508BVS	ENCFF508BVS	ENCFF508BVS	chip	2.0	kmg	0	None	None	1	None	None
ENCFF560OIN	kmg	directAnnotation	gene is directly annotated	ENCFF560OIN	ENCFF560OIN	ENCFF560OIN	chip	2.0	kmg	0	None	None	1	None	None
ENCFF819BQU	kmg	directAnnotation	gene is directly annotated	ENCFF819BQU	ENCFF819BQU	ENCFF819BQU	chip	2.0	kmg	0	None	None	1	None	None
ENCFF566ILH	chn	directAnnotation	gene is directly annotated	ENCFF566ILH	ENCFF566ILH	ENCFF566ILH	chip	2.0	chn	0	None	None	1	None	None
ENCFF512SKM	chn	directAnnotation	gene is directly annotated	ENCFF512SKM	ENCFF512SKM	ENCFF512SKM	chip	2.0	chn	0	None	None	1	None	None
ENCFF407ETB	chn	directAnnotation	gene is directly annotated	ENCFF407ETB	ENCFF407ETB	ENCFF407ETB	chip	2.0	chn	0	None	None	1	None	None
ENCFF254RTJ	CG12744	directAnnotation	gene is directly annotated	ENCFF254RTJ	ENCFF254RTJ	ENCFF254RTJ	chip	2.0	CG12744	0	None	None	1	None	None
ENCFF253LGR	CG12744	directAnnotation	gene is directly annotated	ENCFF253LGR	ENCFF253LGR	ENCFF253LGR	chip	2.0	CG12744	0	None	None	1	None	None
ENCFF075HME	CG12744	directAnnotation	gene is directly annotated	ENCFF075HME	ENCFF075HME	ENCFF075HME	chip	2.0	CG12744	0	None	None	1	None	None
ENCFF005ADT	CG6276	directAnnotation	gene is directly annotated	ENCFF005ADT	ENCFF005ADT	ENCFF005ADT	chip	2.0	CG6276	0	None	None	1	None	None
ENCFF572GZY	CG6276	directAnnotation	gene is directly annotated	ENCFF572GZY	ENCFF572GZY	ENCFF572GZY	chip	2.0	CG6276	0	None	None	1	None	None
ENCFF077CNX	CG6276	directAnnotation	gene is directly annotated	ENCFF077CNX	ENCFF077CNX	ENCFF077CNX	chip	2.0	CG6276	0	None	None	1	None	None
ENCFF457ONR	spab	directAnnotation	gene is directly annotated	ENCFF457ONR	ENCFF457ONR	ENCFF457ONR	chip	2.0	spab	0	None	None	1	None	None
ENCFF865YJK	spab	directAnnotation	gene is directly annotated	ENCFF865YJK	ENCFF865YJK	ENCFF865YJK	chip	2.0	spab	0	None	None	1	None	None
ENCFF884PPP	spab	directAnnotation	gene is directly annotated	ENCFF884PPP	ENCFF884PPP	ENCFF884PPP	chip	2.0	spab	0	None	None	1	None	None
ENCFF339JUC	CrebA	directAnnotation	gene is directly annotated	ENCFF339JUC	ENCFF339JUC	ENCFF339JUC	chip	2.0	CrebA	0	None	None	1	None	None
ENCFF500JJG	CrebA	directAnnotation	gene is directly annotated	ENCFF500JJG	ENCFF500JJG	ENCFF500JJG	chip	2.0	CrebA	0	None	None	1	None	None
ENCFF523EFA	CrebA	directAnnotation	gene is directly annotated	ENCFF523EFA	ENCFF523EFA	ENCFF523EFA	chip	2.0	CrebA	0	None	None	1	None	None
ENCFF522VBW	gro	directAnnotation	gene is directly annotated	ENCFF522VBW	ENCFF522VBW	ENCFF522VBW	chip	2.0	gro	0	None	None	1	None	None
ENCFF920VVJ	gro	directAnnotation	gene is directly annotated	ENCFF920VVJ	ENCFF920VVJ	ENCFF920VVJ	chip	2.0	gro	0	None	None	1	None	None
ENCFF841PSP	gro	directAnnotation	gene is directly annotated	ENCFF841PSP	ENCFF841PSP	ENCFF841PSP	chip	2.0	gro	0	None	None	1	None	None
ENCFF436UQH	Pdp1	directAnnotation	gene is directly annotated	ENCFF436UQH	ENCFF436UQH	ENCFF436UQH	chip	2.0	Pdp1	0	None	None	1	None	None
ENCFF791HUU	Pdp1	directAnnotation	gene is directly annotated	ENCFF791HUU	ENCFF791HUU	ENCFF791HUU	chip	2.0	Pdp1	0	None	None	1	None	None
ENCFF177DIR	Pdp1	directAnnotation	gene is directly annotated	ENCFF177DIR	ENCFF177DIR	ENCFF177DIR	chip	2.0	Pdp1	0	None	None	1	None	None
ENCFF471UAT	Pdp1	directAnnotation	gene is directly annotated	ENCFF471UAT	ENCFF471UAT	ENCFF471UAT	chip	2.0	Pdp1	0	None	None	1	None	None
ENCFF474IEM	OdsH	directAnnotation	gene is directly annotated	ENCFF474IEM	ENCFF474IEM	ENCFF474IEM	chip	2.0	OdsH	0	None	None	1	None	None
ENCFF732XLN	OdsH	directAnnotation	gene is directly annotated	ENCFF732XLN	ENCFF732XLN	ENCFF732XLN	chip	2.0	OdsH	0	None	None	1	None	None
ENCFF144QQU	OdsH	directAnnotation	gene is directly annotated	ENCFF144QQU	ENCFF144QQU	ENCFF144QQU	chip	2.0	OdsH	0	None	None	1	None	None
ENCFF983CLX	CG6808	directAnnotation	gene is directly annotated	ENCFF983CLX	ENCFF983CLX	ENCFF983CLX	chip	2.0	CG6808	0	None	None	1	None	None
ENCFF172LFH	CG6808	directAnnotation	gene is directly annotated	ENCFF172LFH	ENCFF172LFH	ENCFF172LFH	chip	2.0	CG6808	0	None	None	1	None	None
ENCFF944JFT	CG6808	directAnnotation	gene is directly annotated	ENCFF944JFT	ENCFF944JFT	ENCFF944JFT	chip	2.0	CG6808	0	None	None	1	None	None
ENCFF386IED	CG6808	directAnnotation	gene is directly annotated	ENCFF386IED	ENCFF386IED	ENCFF386IED	chip	2.0	CG6808	0	None	None	1	None	None
ENCFF512RMN	grn	directAnnotation	gene is directly annotated	ENCFF512RMN	ENCFF512RMN	ENCFF512RMN	chip	2.0	grn	0	None	None	1	None	None
ENCFF937PRJ	grn	directAnnotation	gene is directly annotated	ENCFF937PRJ	ENCFF937PRJ	ENCFF937PRJ	chip	2.0	grn	0	None	None	1	None	None
ENCFF147GUT	grn	directAnnotation	gene is directly annotated	ENCFF147GUT	ENCFF147GUT	ENCFF147GUT	chip	2.0	grn	0	None	None	1	None	None
ENCFF785JOF	grn	directAnnotation	gene is directly annotated	ENCFF785JOF	ENCFF785JOF	ENCFF785JOF	chip	2.0	grn	0	None	None	1	None	None
ENCFF047JPW	CG7987	directAnnotation	gene is directly annotated	ENCFF047JPW	ENCFF047JPW	ENCFF047JPW	chip	2.0	CG7987	0	None	None	1	None	None
ENCFF637BXR	CG7987	directAnnotation	gene is directly annotated	ENCFF637BXR	ENCFF637BXR	ENCFF637BXR	chip	2.0	CG7987	0	None	None	1	None	None
ENCFF909NBW	CG7987	directAnnotation	gene is directly annotated	ENCFF909NBW	ENCFF909NBW	ENCFF909NBW	chip	2.0	CG7987	0	None	None	1	None	None
ENCFF718FYX	Mad	directAnnotation	gene is directly annotated	ENCFF718FYX	ENCFF718FYX	ENCFF718FYX	chip	2.0	Mad	0	None	None	1	None	None
ENCFF346ISM	Mad	directAnnotation	gene is directly annotated	ENCFF346ISM	ENCFF346ISM	ENCFF346ISM	chip	2.0	Mad	0	None	None	1	None	None
ENCFF510FGY	Mad	directAnnotation	gene is directly annotated	ENCFF510FGY	ENCFF510FGY	ENCFF510FGY	chip	2.0	Mad	0	None	None	1	None	None
ENCFF325QHN	topi	directAnnotation	gene is directly annotated	ENCFF325QHN	ENCFF325QHN	ENCFF325QHN	chip	2.0	topi	0	None	None	1	None	None
ENCFF802JOV	topi	directAnnotation	gene is directly annotated	ENCFF802JOV	ENCFF802JOV	ENCFF802JOV	chip	2.0	topi	0	None	None	1	None	None
ENCFF253YAN	topi	directAnnotation	gene is directly annotated	ENCFF253YAN	ENCFF253YAN	ENCFF253YAN	chip	2.0	topi	0	None	None	1	None	None
ENCFF150LGU	topi	directAnnotation	gene is directly annotated	ENCFF150LGU	ENCFF150LGU	ENCFF150LGU	chip	2.0	topi	0	None	None	1	None	None
ENCFF181TYR	Hey	directAnnotation	gene is directly annotated	ENCFF181TYR	ENCFF181TYR	ENCFF181TYR	chip	2.0	Hey	0	None	None	1	None	None
ENCFF032STL	Hey	directAnnotation	gene is directly annotated	ENCFF032STL	ENCFF032STL	ENCFF032STL	chip	2.0	Hey	0	None	None	1	None	None
ENCFF516MZW	Hey	directAnnotation	gene is directly annotated	ENCFF516MZW	ENCFF516MZW	ENCFF516MZW	chip	2.0	Hey	0	None	None	1	None	None
ENCFF936HWP	Hey	directAnnotation	gene is directly annotated	ENCFF936HWP	ENCFF936HWP	ENCFF936HWP	chip	2.0	Hey	0	None	None	1	None	None
ENCFF297QRQ	BuGZ	directAnnotation	gene is directly annotated	ENCFF297QRQ	ENCFF297QRQ	ENCFF297QRQ	chip	2.0	BuGZ	0	None	None	1	None	None
ENCFF252TTU	BuGZ	directAnnotation	gene is directly annotated	ENCFF252TTU	ENCFF252TTU	ENCFF252TTU	chip	2.0	BuGZ	0	None	None	1	None	None
ENCFF277LNH	BuGZ	directAnnotation	gene is directly annotated	ENCFF277LNH	ENCFF277LNH	ENCFF277LNH	chip	2.0	BuGZ	0	None	None	1	None	None
ENCFF822BTB	gsb-n	directAnnotation	gene is directly annotated	ENCFF822BTB	ENCFF822BTB	ENCFF822BTB	chip	2.0	gsb-n	0	None	None	1	None	None
ENCFF589ISB	gsb-n	directAnnotation	gene is directly annotated	ENCFF589ISB	ENCFF589ISB	ENCFF589ISB	chip	2.0	gsb-n	0	None	None	1	None	None
ENCFF396YQU	gsb-n	directAnnotation	gene is directly annotated	ENCFF396YQU	ENCFF396YQU	ENCFF396YQU	chip	2.0	gsb-n	0	None	None	1	None	None
ENCFF428GAG	gsb-n	directAnnotation	gene is directly annotated	ENCFF428GAG	ENCFF428GAG	ENCFF428GAG	chip	2.0	gsb-n	0	None	None	1	None	None
ENCFF892ZGA	Hsf	directAnnotation	gene is directly annotated	ENCFF892ZGA	ENCFF892ZGA	ENCFF892ZGA	chip	2.0	Hsf	0	None	None	1	None	None
ENCFF318ABS	Hsf	directAnnotation	gene is directly annotated	ENCFF318ABS	ENCFF318ABS	ENCFF318ABS	chip	2.0	Hsf	0	None	None	1	None	None
ENCFF498SDV	Hsf	directAnnotation	gene is directly annotated	ENCFF498SDV	ENCFF498SDV	ENCFF498SDV	chip	2.0	Hsf	0	None	None	1	None	None
ENCFF276FUD	Hsf	directAnnotation	gene is directly annotated	ENCFF276FUD	ENCFF276FUD	ENCFF276FUD	chip	2.0	Hsf	0	None	None	1	None	None
ENCFF565OVE	BEAF-32	directAnnotation	gene is directly annotated	ENCFF565OVE	ENCFF565OVE	ENCFF565OVE	chip	2.0	BEAF-32	0	None	None	1	None	None
ENCFF079ROF	BEAF-32	directAnnotation	gene is directly annotated	ENCFF079ROF	ENCFF079ROF	ENCFF079ROF	chip	2.0	BEAF-32	0	None	None	1	None	None
ENCFF637XEP	BEAF-32	directAnnotation	gene is directly annotated	ENCFF637XEP	ENCFF637XEP	ENCFF637XEP	chip	2.0	BEAF-32	0	None	None	1	None	None
ENCFF117KBC	BEAF-32	directAnnotation	gene is directly annotated	ENCFF117KBC	ENCFF117KBC	ENCFF117KBC	chip	2.0	BEAF-32	0	None	None	1	None	None
ENCFF225DHP	crp	directAnnotation	gene is directly annotated	ENCFF225DHP	ENCFF225DHP	ENCFF225DHP	chip	2.0	crp	0	None	None	1	None	None
ENCFF227CEM	crp	directAnnotation	gene is directly annotated	ENCFF227CEM	ENCFF227CEM	ENCFF227CEM	chip	2.0	crp	0	None	None	1	None	None
ENCFF489BJZ	crp	directAnnotation	gene is directly annotated	ENCFF489BJZ	ENCFF489BJZ	ENCFF489BJZ	chip	2.0	crp	0	None	None	1	None	None
ENCFF552ZOO	crp	directAnnotation	gene is directly annotated	ENCFF552ZOO	ENCFF552ZOO	ENCFF552ZOO	chip	2.0	crp	0	None	None	1	None	None
ENCFF613PRI	lilli	directAnnotation	gene is directly annotated	ENCFF613PRI	ENCFF613PRI	ENCFF613PRI	chip	2.0	lilli	0	None	None	1	None	None
ENCFF518JII	lilli	directAnnotation	gene is directly annotated	ENCFF518JII	ENCFF518JII	ENCFF518JII	chip	2.0	lilli	0	None	None	1	None	None
ENCFF120JMA	lilli	directAnnotation	gene is directly annotated	ENCFF120JMA	ENCFF120JMA	ENCFF120JMA	chip	2.0	lilli	0	None	None	1	None	None
ENCFF250CHY	lilli	directAnnotation	gene is directly annotated	ENCFF250CHY	ENCFF250CHY	ENCFF250CHY	chip	2.0	lilli	0	None	None	1	None	None
ENCFF363ZNA	pho	directAnnotation	gene is directly annotated	ENCFF363ZNA	ENCFF363ZNA	ENCFF363ZNA	chip	2.0	pho	0	None	None	1	None	None
ENCFF665XWG	pho	directAnnotation	gene is directly annotated	ENCFF665XWG	ENCFF665XWG	ENCFF665XWG	chip	2.0	pho	0	None	None	1	None	None
ENCFF389SOY	pho	directAnnotation	gene is directly annotated	ENCFF389SOY	ENCFF389SOY	ENCFF389SOY	chip	2.0	pho	0	None	None	1	None	None
ENCFF736BKE	emc	directAnnotation	gene is directly annotated	ENCFF736BKE	ENCFF736BKE	ENCFF736BKE	chip	2.0	emc	0	None	None	1	None	None
ENCFF589BBZ	emc	directAnnotation	gene is directly annotated	ENCFF589BBZ	ENCFF589BBZ	ENCFF589BBZ	chip	2.0	emc	0	None	None	1	None	None
ENCFF325KCA	emc	directAnnotation	gene is directly annotated	ENCFF325KCA	ENCFF325KCA	ENCFF325KCA	chip	2.0	emc	0	None	None	1	None	None
ENCFF950FVW	fd59A	directAnnotation	gene is directly annotated	ENCFF950FVW	ENCFF950FVW	ENCFF950FVW	chip	2.0	fd59A	0	None	None	1	None	None
ENCFF218EJZ	fd59A	directAnnotation	gene is directly annotated	ENCFF218EJZ	ENCFF218EJZ	ENCFF218EJZ	chip	2.0	fd59A	0	None	None	1	None	None
ENCFF770NWO	fd59A	directAnnotation	gene is directly annotated	ENCFF770NWO	ENCFF770NWO	ENCFF770NWO	chip	2.0	fd59A	0	None	None	1	None	None
ENCFF080SUX	her	directAnnotation	gene is directly annotated	ENCFF080SUX	ENCFF080SUX	ENCFF080SUX	chip	2.0	her	0	None	None	1	None	None
ENCFF964SGO	her	directAnnotation	gene is directly annotated	ENCFF964SGO	ENCFF964SGO	ENCFF964SGO	chip	2.0	her	0	None	None	1	None	None
ENCFF025HAJ	her	directAnnotation	gene is directly annotated	ENCFF025HAJ	ENCFF025HAJ	ENCFF025HAJ	chip	2.0	her	0	None	None	1	None	None
ENCFF930WSA	corto	directAnnotation	gene is directly annotated	ENCFF930WSA	ENCFF930WSA	ENCFF930WSA	chip	2.0	corto	0	None	None	1	None	None
ENCFF163AOJ	corto	directAnnotation	gene is directly annotated	ENCFF163AOJ	ENCFF163AOJ	ENCFF163AOJ	chip	2.0	corto	0	None	None	1	None	None
ENCFF383WPP	corto	directAnnotation	gene is directly annotated	ENCFF383WPP	ENCFF383WPP	ENCFF383WPP	chip	2.0	corto	0	None	None	1	None	None
ENCFF701PIR	Jarid2	directAnnotation	gene is directly annotated	ENCFF701PIR	ENCFF701PIR	ENCFF701PIR	chip	2.0	Jarid2	0	None	None	1	None	None
ENCFF929FDB	Jarid2	directAnnotation	gene is directly annotated	ENCFF929FDB	ENCFF929FDB	ENCFF929FDB	chip	2.0	Jarid2	0	None	None	1	None	None
ENCFF369VTT	Jarid2	directAnnotation	gene is directly annotated	ENCFF369VTT	ENCFF369VTT	ENCFF369VTT	chip	2.0	Jarid2	0	None	None	1	None	None
ENCFF381DPA	Jarid2	directAnnotation	gene is directly annotated	ENCFF381DPA	ENCFF381DPA	ENCFF381DPA	chip	2.0	Jarid2	0	None	None	1	None	None
ENCFF791YPI	Vsx1	directAnnotation	gene is directly annotated	ENCFF791YPI	ENCFF791YPI	ENCFF791YPI	chip	2.0	Vsx1	0	None	None	1	None	None
ENCFF643LZA	Vsx1	directAnnotation	gene is directly annotated	ENCFF643LZA	ENCFF643LZA	ENCFF643LZA	chip	2.0	Vsx1	0	None	None	1	None	None
ENCFF801FMJ	Vsx1	directAnnotation	gene is directly annotated	ENCFF801FMJ	ENCFF801FMJ	ENCFF801FMJ	chip	2.0	Vsx1	0	None	None	1	None	None
ENCFF631XNK	CG11617	directAnnotation	gene is directly annotated	ENCFF631XNK	ENCFF631XNK	ENCFF631XNK	chip	2.0	CG11617	0	None	None	1	None	None
ENCFF848UUX	CG11617	directAnnotation	gene is directly annotated	ENCFF848UUX	ENCFF848UUX	ENCFF848UUX	chip	2.0	CG11617	0	None	None	1	None	None
ENCFF622YGP	CG11617	directAnnotation	gene is directly annotated	ENCFF622YGP	ENCFF622YGP	ENCFF622YGP	chip	2.0	CG11617	0	None	None	1	None	None
ENCFF735OCI	CG8944	directAnnotation	gene is directly annotated	ENCFF735OCI	ENCFF735OCI	ENCFF735OCI	chip	2.0	CG8944	0	None	None	1	None	None
ENCFF208XBH	CG8944	directAnnotation	gene is directly annotated	ENCFF208XBH	ENCFF208XBH	ENCFF208XBH	chip	2.0	CG8944	0	None	None	1	None	None
ENCFF683CJG	CG8944	directAnnotation	gene is directly annotated	ENCFF683CJG	ENCFF683CJG	ENCFF683CJG	chip	2.0	CG8944	0	None	None	1	None	None
ENCFF460CPK	CG8944	directAnnotation	gene is directly annotated	ENCFF460CPK	ENCFF460CPK	ENCFF460CPK	chip	2.0	CG8944	0	None	None	1	None	None
ENCFF462YIS	E(spl)mdelta-HLH	directAnnotation	gene is directly annotated	ENCFF462YIS	ENCFF462YIS	ENCFF462YIS	chip	2.0	E(spl)mdelta-HLH	0	None	None	1	None	None
ENCFF221TIV	E(spl)mdelta-HLH	directAnnotation	gene is directly annotated	ENCFF221TIV	ENCFF221TIV	ENCFF221TIV	chip	2.0	E(spl)mdelta-HLH	0	None	None	1	None	None
ENCFF512IFU	E(spl)mdelta-HLH	directAnnotation	gene is directly annotated	ENCFF512IFU	ENCFF512IFU	ENCFF512IFU	chip	2.0	E(spl)mdelta-HLH	0	None	None	1	None	None
ENCFF958LQT	Ets21C	directAnnotation	gene is directly annotated	ENCFF958LQT	ENCFF958LQT	ENCFF958LQT	chip	2.0	Ets21C	0	None	None	1	None	None
ENCFF850YYD	Ets21C	directAnnotation	gene is directly annotated	ENCFF850YYD	ENCFF850YYD	ENCFF850YYD	chip	2.0	Ets21C	0	None	None	1	None	None
ENCFF556SOB	Ets21C	directAnnotation	gene is directly annotated	ENCFF556SOB	ENCFF556SOB	ENCFF556SOB	chip	2.0	Ets21C	0	None	None	1	None	None
ENCFF121KNA	Ets21C	directAnnotation	gene is directly annotated	ENCFF121KNA	ENCFF121KNA	ENCFF121KNA	chip	2.0	Ets21C	0	None	None	1	None	None
ENCFF988SRA	vri	directAnnotation	gene is directly annotated	ENCFF988SRA	ENCFF988SRA	ENCFF988SRA	chip	2.0	vri	0	None	None	1	None	None
ENCFF846SWT	vri	directAnnotation	gene is directly annotated	ENCFF846SWT	ENCFF846SWT	ENCFF846SWT	chip	2.0	vri	0	None	None	1	None	None
ENCFF168ORI	vri	directAnnotation	gene is directly annotated	ENCFF168ORI	ENCFF168ORI	ENCFF168ORI	chip	2.0	vri	0	None	None	1	None	None
ENCFF676GHC	vri	directAnnotation	gene is directly annotated	ENCFF676GHC	ENCFF676GHC	ENCFF676GHC	chip	2.0	vri	0	None	None	1	None	None
ENCFF732HXP	ZnT49B	directAnnotation	gene is directly annotated	ENCFF732HXP	ENCFF732HXP	ENCFF732HXP	chip	2.0	ZnT49B	0	None	None	1	None	None
ENCFF088AWL	ZnT49B	directAnnotation	gene is directly annotated	ENCFF088AWL	ENCFF088AWL	ENCFF088AWL	chip	2.0	ZnT49B	0	None	None	1	None	None
ENCFF324CTF	ZnT49B	directAnnotation	gene is directly annotated	ENCFF324CTF	ENCFF324CTF	ENCFF324CTF	chip	2.0	ZnT49B	0	None	None	1	None	None
ENCFF092KWJ	ZnT49B	directAnnotation	gene is directly annotated	ENCFF092KWJ	ENCFF092KWJ	ENCFF092KWJ	chip	2.0	ZnT49B	0	None	None	1	None	None
ENCFF427JLQ	tai	directAnnotation	gene is directly annotated	ENCFF427JLQ	ENCFF427JLQ	ENCFF427JLQ	chip	2.0	tai	0	None	None	1	None	None
ENCFF581KLF	tai	directAnnotation	gene is directly annotated	ENCFF581KLF	ENCFF581KLF	ENCFF581KLF	chip	2.0	tai	0	None	None	1	None	None
ENCFF235TNU	tai	directAnnotation	gene is directly annotated	ENCFF235TNU	ENCFF235TNU	ENCFF235TNU	chip	2.0	tai	0	None	None	1	None	None
ENCFF276LQT	Fer1	directAnnotation	gene is directly annotated	ENCFF276LQT	ENCFF276LQT	ENCFF276LQT	chip	2.0	Fer1	0	None	None	1	None	None
ENCFF532CYL	Fer1	directAnnotation	gene is directly annotated	ENCFF532CYL	ENCFF532CYL	ENCFF532CYL	chip	2.0	Fer1	0	None	None	1	None	None
ENCFF022MOK	Fer1	directAnnotation	gene is directly annotated	ENCFF022MOK	ENCFF022MOK	ENCFF022MOK	chip	2.0	Fer1	0	None	None	1	None	None
ENCFF373XRY	ind	directAnnotation	gene is directly annotated	ENCFF373XRY	ENCFF373XRY	ENCFF373XRY	chip	2.0	ind	0	None	None	1	None	None
ENCFF183FCY	ind	directAnnotation	gene is directly annotated	ENCFF183FCY	ENCFF183FCY	ENCFF183FCY	chip	2.0	ind	0	None	None	1	None	None
ENCFF040VWF	ind	directAnnotation	gene is directly annotated	ENCFF040VWF	ENCFF040VWF	ENCFF040VWF	chip	2.0	ind	0	None	None	1	None	None
ENCFF366OWO	ind	directAnnotation	gene is directly annotated	ENCFF366OWO	ENCFF366OWO	ENCFF366OWO	chip	2.0	ind	0	None	None	1	None	None
ENCFF495WKK	CG32264	directAnnotation	gene is directly annotated	ENCFF495WKK	ENCFF495WKK	ENCFF495WKK	chip	2.0	CG32264	0	None	None	1	None	None
ENCFF839AFY	CG32264	directAnnotation	gene is directly annotated	ENCFF839AFY	ENCFF839AFY	ENCFF839AFY	chip	2.0	CG32264	0	None	None	1	None	None
ENCFF193LJS	CG32264	directAnnotation	gene is directly annotated	ENCFF193LJS	ENCFF193LJS	ENCFF193LJS	chip	2.0	CG32264	0	None	None	1	None	None
ENCFF674GDU	CG18011	directAnnotation	gene is directly annotated	ENCFF674GDU	ENCFF674GDU	ENCFF674GDU	chip	2.0	CG18011	0	None	None	1	None	None
ENCFF177TOB	CG18011	directAnnotation	gene is directly annotated	ENCFF177TOB	ENCFF177TOB	ENCFF177TOB	chip	2.0	CG18011	0	None	None	1	None	None
ENCFF545HFJ	CG18011	directAnnotation	gene is directly annotated	ENCFF545HFJ	ENCFF545HFJ	ENCFF545HFJ	chip	2.0	CG18011	0	None	None	1	None	None
ENCFF337NTJ	en	directAnnotation	gene is directly annotated	ENCFF337NTJ	ENCFF337NTJ	ENCFF337NTJ	chip	2.0	en	0	None	None	1	None	None
ENCFF513KNJ	en	directAnnotation	gene is directly annotated	ENCFF513KNJ	ENCFF513KNJ	ENCFF513KNJ	chip	2.0	en	0	None	None	1	None	None
ENCFF964QLS	en	directAnnotation	gene is directly annotated	ENCFF964QLS	ENCFF964QLS	ENCFF964QLS	chip	2.0	en	0	None	None	1	None	None
ENCFF778QJI	lbe	directAnnotation	gene is directly annotated	ENCFF778QJI	ENCFF778QJI	ENCFF778QJI	chip	2.0	lbe	0	None	None	1	None	None
ENCFF839APD	lbe	directAnnotation	gene is directly annotated	ENCFF839APD	ENCFF839APD	ENCFF839APD	chip	2.0	lbe	0	None	None	1	None	None
ENCFF810LMR	lbe	directAnnotation	gene is directly annotated	ENCFF810LMR	ENCFF810LMR	ENCFF810LMR	chip	2.0	lbe	0	None	None	1	None	None
ENCFF936RJZ	Atf3	directAnnotation	gene is directly annotated	ENCFF936RJZ	ENCFF936RJZ	ENCFF936RJZ	chip	2.0	Atf3	0	None	None	1	None	None
ENCFF645GLF	Atf3	directAnnotation	gene is directly annotated	ENCFF645GLF	ENCFF645GLF	ENCFF645GLF	chip	2.0	Atf3	0	None	None	1	None	None
ENCFF066HMR	Atf3	directAnnotation	gene is directly annotated	ENCFF066HMR	ENCFF066HMR	ENCFF066HMR	chip	2.0	Atf3	0	None	None	1	None	None
ENCFF532TNX	Atf3	directAnnotation	gene is directly annotated	ENCFF532TNX	ENCFF532TNX	ENCFF532TNX	chip	2.0	Atf3	0	None	None	1	None	None
ENCFF174MWE	CG4424	directAnnotation	gene is directly annotated	ENCFF174MWE	ENCFF174MWE	ENCFF174MWE	chip	2.0	CG4424	0	None	None	1	None	None
ENCFF231QQM	CG4424	directAnnotation	gene is directly annotated	ENCFF231QQM	ENCFF231QQM	ENCFF231QQM	chip	2.0	CG4424	0	None	None	1	None	None
ENCFF326TQK	CG4424	directAnnotation	gene is directly annotated	ENCFF326TQK	ENCFF326TQK	ENCFF326TQK	chip	2.0	CG4424	0	None	None	1	None	None
ENCFF712IPF	CG4424	directAnnotation	gene is directly annotated	ENCFF712IPF	ENCFF712IPF	ENCFF712IPF	chip	2.0	CG4424	0	None	None	1	None	None
ENCFF072EKS	FoxL1	directAnnotation	gene is directly annotated	ENCFF072EKS	ENCFF072EKS	ENCFF072EKS	chip	2.0	FoxL1	0	None	None	1	None	None
ENCFF299RML	FoxL1	directAnnotation	gene is directly annotated	ENCFF299RML	ENCFF299RML	ENCFF299RML	chip	2.0	FoxL1	0	None	None	1	None	None
ENCFF772CMF	FoxL1	directAnnotation	gene is directly annotated	ENCFF772CMF	ENCFF772CMF	ENCFF772CMF	chip	2.0	FoxL1	0	None	None	1	None	None
ENCFF998PRH	FoxL1	directAnnotation	gene is directly annotated	ENCFF998PRH	ENCFF998PRH	ENCFF998PRH	chip	2.0	FoxL1	0	None	None	1	None	None
ENCFF515RIS	CG16779	directAnnotation	gene is directly annotated	ENCFF515RIS	ENCFF515RIS	ENCFF515RIS	chip	2.0	CG16779	0	None	None	1	None	None
ENCFF492LYI	CG16779	directAnnotation	gene is directly annotated	ENCFF492LYI	ENCFF492LYI	ENCFF492LYI	chip	2.0	CG16779	0	None	None	1	None	None
ENCFF023XNB	CG16779	directAnnotation	gene is directly annotated	ENCFF023XNB	ENCFF023XNB	ENCFF023XNB	chip	2.0	CG16779	0	None	None	1	None	None
ENCFF616XXU	CG16779	directAnnotation	gene is directly annotated	ENCFF616XXU	ENCFF616XXU	ENCFF616XXU	chip	2.0	CG16779	0	None	None	1	None	None
ENCFF614UTB	D1	directAnnotation	gene is directly annotated	ENCFF614UTB	ENCFF614UTB	ENCFF614UTB	chip	2.0	D1	0	None	None	1	None	None
ENCFF055DLW	D1	directAnnotation	gene is directly annotated	ENCFF055DLW	ENCFF055DLW	ENCFF055DLW	chip	2.0	D1	0	None	None	1	None	None
ENCFF701KCV	D1	directAnnotation	gene is directly annotated	ENCFF701KCV	ENCFF701KCV	ENCFF701KCV	chip	2.0	D1	0	None	None	1	None	None
ENCFF388DNZ	CG12768	directAnnotation	gene is directly annotated	ENCFF388DNZ	ENCFF388DNZ	ENCFF388DNZ	chip	2.0	CG12768	0	None	None	1	None	None
ENCFF390HCC	CG12768	directAnnotation	gene is directly annotated	ENCFF390HCC	ENCFF390HCC	ENCFF390HCC	chip	2.0	CG12768	0	None	None	1	None	None
